"gene","log2FoldChange","padj","baseMean"
"AL022578",25.6087685237463,1.49676407519103e-49,31.6824425084828
"IFIT1",4.94635042174298,3.97985543209496e-26,296.619020718083
"XAF1",3.54912353954839,2.73065917914018e-22,180.261158967645
"CXCL10",6.87851564659552,4.4366855882253e-21,96.933868893295
"DDX58",4.1669699203559,6.44648017289136e-21,100.924932963937
"GBP1",3.92245234386631,9.46429917393145e-21,202.405119372238
"OAS3",3.9295505586975,1.31338775368141e-20,260.505857663349
"IFIT2",4.84403162652481,1.00026983594759e-19,420.814851089254
"IFIT3",4.28609878586915,1.09270149972976e-19,298.144760711938
"SIGLEC1",5.43612783389335,3.36909491131595e-19,16.7735387640528
